file,canopy_cover_percent,leaf_area_cm2,pos_points,neg_points,scaled,postprocessed
Reflection_2hwabang (1).jpg,3.322,,9,11,False,True
Reflection_2hwabang (10).jpg,7.204,,20,10,False,True
Reflection_2hwabang (11).jpg,4.148,,2,0,False,True
Reflection_2hwabang (12).jpg,6.601,,2,0,False,True
Reflection_2hwabang (13).jpg,4.874,,3,0,False,True
Reflection_2hwabang (14).jpg,4.362,1890.491,2,0,True,True
Reflection_2hwabang (15).jpg,4.864,2194.107,3,0,True,True
Reflection_2hwabang (16).jpg,5.205,2347.939,3,0,True,True
Reflection_2hwabang (17).jpg,3.829,1761.303,3,0,True,True
Reflection_2hwabang (18).jpg,3.812,1745.054,3,0,True,True
Reflection_2hwabang (19).jpg,5.365,2450.032,2,0,True,True
Reflection_2hwabang (2).jpg,1.983,,2,1,False,True
Reflection_2hwabang (20).jpg,3.642,1685.379,6,1,True,True
Reflection_2hwabang (21).jpg,2.603,1202.227,2,2,True,True
Reflection_2hwabang (22).jpg,2.018,938.893,1,1,True,True
Reflection_2hwabang (23).jpg,2.421,1120.915,3,1,True,True
Reflection_2hwabang (24).jpg,3.475,1592.88,1,1,True,True
Reflection_2hwabang (25).jpg,4.845,2193.202,2,1,True,True
Reflection_2hwabang (26).jpg,2.702,1236.729,6,4,True,True
Reflection_2hwabang (27).jpg,2.015,925.561,2,0,True,True
Reflection_2hwabang (28).jpg,1.611,735.658,2,1,True,True
Reflection_2hwabang (29).jpg,0.897,406.505,2,1,True,True
Reflection_2hwabang (3).jpg,3.206,,2,1,False,True
Reflection_2hwabang (30).jpg,0.806,368.719,2,1,True,True
Reflection_2hwabang (4).jpg,2.971,,1,1,False,True
Reflection_2hwabang (5).jpg,2.939,,2,1,False,True
Reflection_2hwabang (6).jpg,3.974,,1,1,False,True
Reflection_2hwabang (7).jpg,3.353,,3,1,False,True
Reflection_2hwabang (8).jpg,3.821,,5,1,False,True
Reflection_2hwabang (9).jpg,4.628,,2,1,False,True
